"","","","CASH BOOK - DO NOT PRINT","","","","","Station:","","","","Sequence Number:","",""
"Data MUST be entered, where column titles are in BLUE","","","","","","GST Exclusive Amount Only","","","","","","","",""
"#","Payment Method","Date","Receipt #","Name","Amount Received (GST Inc)","Check","Permit","Permit","Licence","Reports","Services","Reports","","GST"
"","","","","","","N00","N00","N00","N00","S10","S10","N00","","@ 10%"
"1","EFTPOS","30/10/13","230","Fred Smith","20.00 ","20.00 ","","","","","","","","0.00 "
"2","Cheque","30/10/13","231","John Doe","40.00 ","","40.00 ","","","","","","","0.00 "
"3","EFTPOS","30/10/13","232","Luke Harris","60.00 ","","","60.00 ","","","","","","0.00 "
"4","Cash","31/10/13","233","Darren Loser","20.00 ","","","","20.00 ","","","","","0.00 "
"5","Cheque","1/11/13","234","Brad Walks","44.00 ","","","","","40.00 ","","","","4.00 "
"6","EFTPOS","1/11/13","235","Erin Win","66.00 ","","","","","","60.00 ","","","6.00 "
"7","Cash","2/11/13","236","Jane Doe","80.00 ","","","","","","","80.00 ","","0.00 "
"8","Cheque","2/11/13","237","Hanry Whinst","20.00 ","","","","","","","","20.00 ","0.00 "
"9","Cheque","2/11/13","238","Fred Brown","55.00 ","","","","","50.00 ","","","","5.00 "
" ","",""," ","","0.00 ","","","","","","","","","0.00 "
"","","","","TOTAL","405.00 ","20.00 ","40.00 ","60.00 ","20.00 ","90.00 ","60.00 ","80.00 ","20.00 ","15.00 "
"","","","","","","","","","","","","","",""
