"","08:30 to 2:00","","High School - Time Table ","","","","",""
"Periods -->
& Class","1st 
Period","2nd 
Period","3rd 
Period","4th 
Period","5th 
Period","   6th 
Period","  7th 
Period","  8th 
Period"
"10th - A
      ","Sci
Sir William
10th - A","Bio
Mis Emily
10th - A","English
MIs Lily
10th - A","Chem                        
MIs Lily      
10th - A ","History
Mis Olivia
10th - A","Urdu 
Mis Ema 
10th - A","Physics 
MIs Lily                      
10th - A","P.St  
Mis Olivia
10th - A "
"10th - B","Physics
Sir John
10th - B","Bio
Ms Ayeshe                       
10th - B","Math
Mis Emily
Sir John
10th - B","Math
MIs Lily
10th - B","Urdu
Mis Ema 
10th - B","Computer
Sir William
10th - B","Eng
Sir James
10th - B","Chem
Sir  Kevin 
10th - B"
"","","Comp
Ms  Sofia 
10th - B","","","","","",""
"","Sci
Sir Jacob
10th - B","Math
Sir William
10th - B","","","","Electric Wiring                             Sir James
10th - B",""," G Sci                                     
 Mis Ayesha 
10th - B"
"9th - A","Eng 
Sir James 
9th - A","Urdu
Miss Zahida
9th - A","Math 
 Sir James
 9th - A","Math 
 Sir James
 9th - A","Bio 
Mis Emily
9th - A","Pst/Isl
Mis Olivia 
9th - A","Physics  
Mis Emily C.Ing             9th - A","Chem - 
Mis Emily
9th - A"
"9th - B","Urdu
 Mis Emma
9th - B","English
Sir James
9th - B","Physics 
Sir John
9th - B","Electric
Sir Jacob
9th - B","Bio
Ms Ayeshe         
9th - B","Chem 
Sir Kevin
9th - B","Maths / G.Math
Sir William
9th - B","Electric Wiring        
Sir William
9th - B"
"","","","","","Comp
 Ms  Sofia                              
9th - B","","",""
"","","","G Sci                                  
 Mis Ayesha 
9th - B","","Electric.
Sir Jacob
9th - B","Electric Wiring                                          Sir James
9th - B","",""
