"Name","Maths","English","Science","History"
"2012","","","",""
"Moore","30","78","76","97"
"Johnson","33","82","90","36"
"Smith","55","63","78","33"
"Jones","78","33","23","33"
"White","24","22","27","60"
"Johnson","33","69","42","76"
"Jackson","71","95","81","27"
"Brown","49","21","72","79"
"Harris","21","81","68","90"
"Smith","27","83","65","83"
"Smith","48","73","84","54"
"Brown","96","24","82","97"
"Taylor","68","90","77","80"
"Brown","66","41","74","62"
"Thomas","54","65","74","65"
"Miller","50","42","63","37"
"Davis","70","31","54","57"
"Moore","42","98","29","89"
"Johnson","66","56","43","60"
"Thomas","72","61","92","93"
"Anderson","61","20","63","15"
"White","40","27","62","42"
"Johnson","50","93","28","44"
"White","65","46","33","43"
"Harris","23","96","41","72"
"Anderson","34","78","94","70"
"Jackson","58","96","82","84"
"Davis","68","69","98","59"
"Moore","23","91","90","92"
"Anderson","63","82","63","31"
"Davis","52","51","95","43"
"Taylor","41","84","53","85"
"Anderson","77","40","72","66"
"Brown","50","71","79","98"
"Thomas","89","92","66","60"
"Anderson","78","88","81","50"
"Smith","85","50","81","47"
"Taylor","78","44","99","79"
"Brown","88","25","38","59"
"Davis","26","27","69","89"
"Jackson","41","75","38","75"
"White","35","53","98","94"
"2013","","","",""
"Moore","48","66","97","24"
"White","90","33","31","53"
"Miller","45","58","49","75"
"Harris","38","23","43","62"
"Brown","84","90","50","77"
"Moore","89","68","78","98"
"Jackson","65","90","58","70"
"Jackson","93","92","65","50"
"Jones","41","70","23","55"
"Harris","83","25","63","95"
"Thomas","75","39","85","57"
"Thomas","32","81","66","67"
"Smith","34","55","81","38"
"Miller","39","73","27","85"
"Thomas","45","85","67","20"
"Johnson","88","98","59","90"
"Davis","76","21","76","57"
"White","52","82","97","27"
"Williams","79","44","70","64"
"Anderson","65","32","85","71"
"Wilson","82","72","83","44"
"Brown","81","83","69","69"
"White","71","87","63","75"
"Wilson","25","57","23","56"
"Anderson","71","48","61","86"
"Moore","45","64","36","74"
"Brown","56","96","32","89"
"Anderson","53","57","43","43"
"Brown","33","48","98","86"
"Jones","54","29","61","47"
"Thomas","80","61","21","89"
"Miller","57","50","50","51"
"Thomas","95","84","77","49"
"Smith","69","92","40","33"
"Moore","85","55","58","25"
"Anderson","73","69","82","53"
"Moore","95","89","84","27"
"Moore","79","57","85","46"
"Jackson","80","59","50","57"
"Johnson","25","75","54","75"
"Jackson","53","26","50","26"
"Jackson","53","26","50","7"
"2014","","","",""
"Smith","56","75","60","52"
"Johnson","64","45","31","69"
"Thomas","77","78","68","67"
"Williams","74","91","92","53"
"Johnson","30","43","40","70"
"Smith","95","98","38","91"
"Thomas","65","82","43","20"
"Johnson","33","46","24","47"
"Williams","48","56","94","94"
"Wilson","46","57","85","45"
"Jackson","48","90","53","70"
"Brown","76","89","95","37"
"Taylor","45","68","83","96"
"Moore","84","74","55","59"
"White","94","82","54","67"
"Thomas","34","50","68","49"
"White","66","21","71","55"
"Williams","97","63","82","37"
"Thomas","34","35","34","92"
"Brown","20","75","63","34"
"Miller","75","99","43","85"
"Wilson","23","84","90","54"
"White","93","36","97","97"
"Johnson","22","34","80","34"
"Moore","33","40","52","26"
"Davis","22","69","22","68"
"Thomas","38","71","60","78"
"Brown","64","68","63","90"
"Johnson","74","48","41","24"
"Anderson","74","80","84","94"
"Jones","96","64","98","86"
"Thomas","73","23","40","77"
"Jones","84","90","40","35"
"Anderson","74","88","58","37"
"Wilson","80","68","99","36"
"Harris","58","36","39","75"
"Johnson","60","36","83","39"
"Miller","62","62","90","65"
"Williams","49","63","52","90"
"Smith","94","93","46","28"
"Johnson","88","76","67","24"
"Smith","89","56","89","93"
"2015","","","",""
"Jackson","37","73","74","92"
"Jackson","86","45","36","49"
"Thomas","86","78","50","23"
"Johnson","40","22","44","66"
"Davis","70","38","40","29"
"Brown","95","67","87","28"
"Taylor","60","88","29","72"
"Smith","42","20","53","60"
"Smith","62","79","36","48"
"Brown","89","51","27","69"
"Davis","48","88","40","79"
"Wilson","57","49","68","79"
"Wilson","79","50","88","70"
"Johnson","91","85","45","79"
"Smith","88","62","82","69"
"Anderson","66","53","82","88"
"Anderson","46","75","42","55"
"Jackson","98","58","44","65"
"Harris","29","70","34","38"
"Harris","92","49","78","52"
"Johnson","58","48","22","91"
"Moore","29","32","72","84"
"Thomas","81","45","21","85"
"Thomas","67","47","55","46"
"Jones","70","42","59","38"
"Williams","72","62","68","30"
"Jones","84","46","26","99"
"Smith","71","50","86","87"
"Miller","55","50","70","24"
"Davis","27","82","38","48"
"Jones","75","68","28","23"
"Miller","86","62","48","55"
"Taylor","61","33","79","84"
"Brown","39","66","61","48"
"Miller","39","86","84","70"
"Wilson","20","69","82","51"
"Jones","37","58","24","96"
"Moore","83","86","52","21"
"Thomas","36","29","64","84"
"Miller","86","62","48","8"
"Taylor","61","33","79","5"
"Brown","39","66","61","1"
